ID,electricity_consumption
552,227.96636779286172
553,227.90077759628426
554,243.73742575495035
555,234.64605529598904
556,266.82240801016377
557,247.44952029493982
558,246.95347051860097
559,233.549793985041
560,263.91271311699234
561,256.8216998116594
562,267.639973454099
563,249.57451761820113
564,248.70337451748046
565,282.95066368070854
566,268.0826750192419
567,279.02897023961435
568,297.15123079680126
569,286.40297782906936
570,258.1567570963386
571,246.7393420168889
572,375.3424604179508
573,311.3200149611834
574,337.8513068626742
575,352.93102136957884
576,285.1099502847237
577,353.72617443911287
578,294.1278827838244
579,323.13448408553586
580,242.6343805858687
581,242.24918042686318
582,249.48747604603906
583,236.57386537949128
584,230.636181849801
585,223.25908357868843
586,234.62356257278253
587,232.27329841951695
588,231.29812215324677
589,228.7225470796211
590,234.2838096754171
591,230.54193091660517
592,233.31026046687114
593,236.8479191416485
594,240.6861953646227
595,253.5268738198438
596,257.2658228515227
597,290.3063961565022
598,299.08008567373474
599,285.0291559394956
600,311.55420511303737
601,274.8452277061812
602,237.49801513262315
603,247.35137546060864
604,249.65998110727622
605,226.66929923224865
606,239.91030179136612
607,246.93857472654008
608,234.58163192001655
609,257.2068997988338
610,244.26862412084427
611,234.23227384594796
612,247.1868481325045
613,277.11398392157406
614,267.8895999037281
615,262.64998924642225
616,258.2403419103543
617,287.4204335324481
618,261.2646432432004
619,344.0247654108428
620,261.63657023232014
621,300.7804514489906
622,295.7722341159254
623,260.87932998730275
624,262.4602524826038
625,268.5549038341568
626,252.89685317966726
627,245.4748509652958
628,232.03107792071216
629,228.71050692869005
630,230.47979601130478
631,225.69456543158987
632,233.77531114131492
633,220.28136368792337
634,233.28231360743044
635,240.90895137147788
636,244.56819107516193
637,264.8288256021102
638,248.38026122478686
639,273.03244720778815
640,255.06794358703925
641,261.42840417780496
642,241.87713813699
643,244.5799837856934
644,240.56860895222476
645,252.2523654756046
646,263.0138189163549
647,273.6303991608091
648,235.38684748464055
649,255.63747789867244
650,231.74487893580903
651,229.4830263567669
652,227.79078298610932
653,236.27978830852092
654,236.90118610374185
655,229.71719142389423
656,225.09486502219724
657,218.48571814828745
658,226.24123766687276
659,246.98042124548795
660,239.24684808185447
661,244.38102402937108
662,239.80457299768588
663,234.07710543477384
664,232.9826877405494
665,237.2674096232957
