,log_case,case_count_prev,case_count_prev_2,case_count_prev_3,case_count_prev_4,knn_pred,et_pred,rf_pred,lgb_pred,xgb_pred,case_count
0,2.833213344056216,1.0986122886681098,1.3862943611198906,0.0,2.833213344056216,9.0,10.0,9.0,5.0,6.0,16.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0986122886681098,1.791759469228055,1.9459101490553132,1.0986122886681098,1.6094379124341003,3.0,4.0,4.0,5.0,5.0,2.0
3,4.0943445622221,4.48863636973214,3.367295829986474,2.4849066497880004,3.7612001156935624,71.0,47.0,72.0,51.0,42.0,59.0
4,3.2188758248682006,3.1354942159291497,3.1780538303479458,1.6094379124341003,3.258096538021482,23.0,24.0,23.0,22.0,24.0,24.0
5,1.0986122886681098,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,3.0,2.0,2.0,3.0,3.0,2.0
6,4.110873864173311,4.0943445622221,4.248495242049359,3.9318256327243257,4.430816798843313,56.0,62.0,57.0,57.0,59.0,60.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.1780538303479458,3.295836866004329,3.258096538021482,2.772588722239781,1.3862943611198906,21.0,19.0,22.0,22.0,21.0,23.0
9,1.6094379124341003,3.258096538021482,2.6390573296152584,3.1354942159291497,4.02535169073515,3.0,3.0,4.0,4.0,4.0,4.0
10,1.0986122886681098,1.0986122886681098,3.4657359027997265,2.4849066497880004,3.044522437723423,3.0,1.0,3.0,1.0,1.0,2.0
11,3.871201010907891,3.8066624897703196,3.1780538303479458,3.8066624897703196,3.6375861597263857,44.0,54.0,44.0,41.0,37.0,47.0
12,3.6635616461296463,4.007333185232471,4.0943445622221,4.204692619390966,4.2626798770413155,44.0,44.0,44.0,48.0,45.0,38.0
13,3.9318256327243257,3.4965075614664802,3.044522437723423,3.6109179126442243,3.332204510175204,36.0,43.0,28.0,30.0,30.0,50.0
14,1.791759469228055,1.791759469228055,0.0,2.0794415416798357,1.3862943611198906,4.0,6.0,4.0,4.0,4.0,5.0
15,2.1972245773362196,2.302585092994046,0.0,3.2188758248682006,3.2188758248682006,12.0,11.0,12.0,10.0,11.0,8.0
16,3.6635616461296463,4.060443010546419,4.07753744390572,4.07753744390572,4.007333185232471,48.0,40.0,50.0,44.0,46.0,38.0
