,log_case,case_count_prev,case_count_prev_2,case_count_prev_3,case_count_prev_4,knn_pred,et_pred,rf_pred,lgb_pred,xgb_pred,case_count
0,4.543294782270004,0.0,0.0,0.0,0.0,6.0,2.0,6.0,4.0,0.0,93.0
1,4.02535169073515,3.828641396489095,4.110873864173311,2.995732273553991,3.6635616461296463,37.0,50.0,31.0,47.0,46.0,55.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0986122886681098,1.0986122886681098,3.713572066704308,1.791759469228055,1.9459101490553132,4.0,3.0,6.0,6.0,9.0,2.0
4,2.995732273553991,3.091042453358316,3.1354942159291497,3.2188758248682006,1.0986122886681098,20.0,25.0,19.0,20.0,21.0,19.0
5,2.4849066497880004,2.4849066497880004,2.4849066497880004,4.1588830833596715,4.276666119016055,13.0,15.0,9.0,13.0,11.0,11.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.791759469228055,1.3862943611198906,1.791759469228055,2.6390573296152584,1.9459101490553132,12.0,13.0,13.0,9.0,8.0,5.0
9,4.07753744390572,3.8066624897703196,3.8066624897703196,2.1972245773362196,3.7612001156935624,47.0,47.0,40.0,45.0,47.0,58.0
10,4.290459441148391,3.4965075614664802,4.51085950651685,2.8903717578961645,2.8903717578961645,51.0,34.0,51.0,45.0,32.0,72.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4.465908118654584,2.70805020110221,2.70805020110221,4.430816798843313,2.4849066497880004,28.0,20.0,28.0,22.0,15.0,86.0
13,2.9444389791664403,3.1354942159291497,2.1972245773362196,2.6390573296152584,2.9444389791664403,18.0,17.0,16.0,17.0,16.0,18.0
14,2.302585092994046,2.9444389791664403,1.9459101490553132,2.6390573296152584,2.9444389791664403,14.0,19.0,14.0,13.0,12.0,9.0
15,0.6931471805599453,2.302585092994046,3.4011973816621555,2.70805020110221,2.8903717578961645,1.0,1.0,1.0,1.0,5.0,1.0
16,4.127134385045092,3.4339872044851463,4.02535169073515,2.1972245773362196,3.4965075614664802,44.0,45.0,40.0,41.0,35.0,61.0
17,2.70805020110221,2.5649493574615367,3.295836866004329,2.995732273553991,2.70805020110221,14.0,8.0,16.0,13.0,12.0,14.0
18,1.0986122886681098,1.3862943611198906,2.0794415416798357,1.6094379124341003,2.1972245773362196,6.0,6.0,5.0,5.0,6.0,2.0
19,2.4849066497880004,2.5649493574615367,2.0794415416798357,2.302585092994046,2.302585092994046,6.0,5.0,6.0,6.0,7.0,11.0
20,4.007333185232471,4.174387269895637,4.31748811353631,2.833213344056216,3.8918202981106265,64.0,59.0,65.0,61.0,57.0,54.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,1.0,0.0,1.0,1.0,1.0,1.0
23,2.302585092994046,2.8903717578961645,3.4965075614664802,3.6109179126442243,3.4011973816621555,7.0,11.0,4.0,10.0,3.0,9.0
24,2.4849066497880004,0.6931471805599453,1.791759469228055,1.791759469228055,2.4849066497880004,7.0,10.0,9.0,7.0,8.0,11.0
25,4.23410650459726,2.4849066497880004,3.8918202981106265,4.07753744390572,4.1588830833596715,65.0,58.0,68.0,50.0,43.0,68.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.3862943611198906,2.3978952727983707,2.4849066497880004,2.4849066497880004,2.4849066497880004,1.0,2.0,2.0,3.0,4.0,3.0
28,1.9459101490553132,2.5649493574615367,2.3978952727983707,2.4849066497880004,0.0,11.0,9.0,11.0,11.0,10.0,6.0
29,4.143134726391533,2.1972245773362196,3.1354942159291497,3.8066624897703196,3.4339872044851463,41.0,48.0,44.0,41.0,40.0,62.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2.1972245773362196,2.9444389791664403,2.0794415416798357,2.70805020110221,1.3862943611198906,7.0,4.0,5.0,8.0,9.0,8.0
33,3.7612001156935624,4.007333185232471,4.02535169073515,3.8066624897703196,3.6109179126442243,19.0,12.0,31.0,21.0,36.0,42.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.6094379124341003,2.4849066497880004,2.4849066497880004,1.6094379124341003,3.332204510175204,9.0,8.0,11.0,8.0,12.0,4.0
36,4.174387269895637,4.219507705176107,4.290459441148391,3.8918202981106265,4.2626798770413155,54.0,54.0,52.0,54.0,55.0,64.0
37,0.0,3.1354942159291497,1.6094379124341003,0.0,1.3862943611198906,2.0,1.0,1.0,2.0,2.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.791759469228055,2.0794415416798357,2.8903717578961645,3.044522437723423,3.2188758248682006,4.0,3.0,4.0,4.0,4.0,5.0
40,2.0794415416798357,0.6931471805599453,1.9459101490553132,2.0794415416798357,1.9459101490553132,6.0,7.0,6.0,6.0,9.0,7.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4.3694478524670215,2.995732273553991,3.9318256327243257,4.30406509320417,4.219507705176107,61.0,63.0,73.0,64.0,53.0,78.0
43,1.9459101490553132,1.3862943611198906,2.0794415416798357,1.791759469228055,2.772588722239781,8.0,6.0,6.0,7.0,7.0,6.0
44,0.0,0.0,0.0,4.204692619390966,2.833213344056216,0.0,0.0,0.0,0.0,4.0,0.0
45,3.4657359027997265,3.8918202981106265,2.0794415416798357,2.70805020110221,3.5553480614894135,32.0,27.0,33.0,33.0,28.0,31.0
46,2.302585092994046,0.0,1.6094379124341003,2.6390573296152584,2.772588722239781,12.0,11.0,12.0,10.0,9.0,9.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.0794415416798357,3.1354942159291497,3.091042453358316,2.833213344056216,2.6390573296152584,4.0,2.0,6.0,4.0,7.0,7.0
49,4.07753744390572,4.110873864173311,3.8501476017100584,3.7376696182833684,4.189654742026425,57.0,52.0,55.0,54.0,51.0,58.0
50,3.4657359027997265,4.430816798843313,3.8918202981106265,3.4965075614664802,3.970291913552122,39.0,27.0,35.0,20.0,9.0,31.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,3.2188758248682006,3.091042453358316,2.3978952727983707,3.091042453358316,3.295836866004329,18.0,19.0,19.0,18.0,20.0,24.0
54,1.6094379124341003,1.6094379124341003,1.6094379124341003,3.367295829986474,4.127134385045092,4.0,4.0,5.0,5.0,7.0,4.0
55,3.9318256327243257,3.8066624897703196,2.772588722239781,3.713572066704308,4.110873864173311,38.0,54.0,39.0,42.0,37.0,50.0
56,3.4011973816621555,3.044522437723423,2.9444389791664403,3.1354942159291497,3.1780538303479458,24.0,28.0,21.0,19.0,19.0,29.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,3.8066624897703196,3.258096538021482,3.6375861597263857,3.8918202981106265,2.302585092994046,31.0,29.0,31.0,31.0,27.0,44.0
