id,application_date,segment,forecast
88,2019-07-24,2,635.0
89,2019-07-25,2,678.0
90,2019-07-26,2,555.0
91,2019-07-27,2,666.0
92,2019-07-28,2,569.0
93,2019-07-29,2,593.0
94,2019-07-30,2,604.0
95,2019-07-31,2,534.0
96,2019-08-01,2,474.0
97,2019-08-02,2,366.0
98,2019-08-03,2,542.0
99,2019-08-04,2,718.0
100,2019-08-05,2,726.0
101,2019-08-06,2,734.0
102,2019-08-07,2,576.0
103,2019-08-08,2,726.0
104,2019-08-09,2,674.0
105,2019-08-10,2,690.0
106,2019-08-11,2,755.0
107,2019-08-12,2,690.0
108,2019-08-13,2,578.0
109,2019-08-14,2,387.0
110,2019-08-15,2,638.0
111,2019-08-16,2,747.0
112,2019-08-17,2,686.0
113,2019-08-18,2,712.0
114,2019-08-19,2,572.0
115,2019-08-20,2,702.0
116,2019-08-21,2,626.0
117,2019-08-22,2,646.0
118,2019-08-23,2,682.0
119,2019-08-24,2,615.0
120,2019-08-25,2,530.0
121,2019-08-26,2,383.0
122,2019-08-27,2,594.0
123,2019-08-28,2,739.0
124,2019-08-29,2,715.0
125,2019-08-30,2,731.0
126,2019-08-31,2,581.0
127,2019-09-01,2,722.0
128,2019-09-02,2,659.0
129,2019-09-03,2,677.0
130,2019-09-04,2,728.0
131,2019-09-05,2,662.0
132,2019-09-06,2,563.0
133,2019-09-07,2,392.0
134,2019-09-08,2,624.0
135,2019-09-09,2,750.0
136,2019-09-10,2,707.0
137,2019-09-11,2,729.0
138,2019-09-12,2,584.0
139,2019-09-13,2,719.0
140,2019-09-14,2,648.0
141,2019-09-15,2,668.0
142,2019-09-16,2,711.0
143,2019-09-17,2,644.0
144,2019-09-18,2,553.0
145,2019-09-19,2,395.0
146,2019-09-20,2,616.0
147,2019-09-21,2,752.0
148,2019-09-22,2,718.0
149,2019-09-23,2,737.0
150,2019-09-24,2,590.0
151,2019-09-25,2,728.0
152,2019-09-26,2,661.0
153,2019-09-27,2,680.0
154,2019-09-28,2,727.0
155,2019-09-29,2,661.0
156,2019-09-30,2,565.0
157,2019-10-01,2,401.0
158,2019-10-02,2,628.0
159,2019-10-03,2,758.0
160,2019-10-04,2,719.0
161,2019-10-05,2,740.0
162,2019-10-06,2,594.0
163,2019-10-07,2,730.0
164,2019-10-08,2,662.0
165,2019-10-09,2,681.0
166,2019-10-10,2,726.0
167,2019-10-11,2,660.0
168,2019-10-12,2,566.0
169,2019-10-13,2,405.0
170,2019-10-14,2,629.0
171,2019-10-15,2,762.0
172,2019-10-16,2,726.0
173,2019-10-17,2,746.0
174,2019-10-18,2,599.0
175,2019-10-19,2,736.0
176,2019-10-20,2,669.0
177,2019-10-21,2,688.0
178,2019-10-22,2,734.0
179,2019-10-23,2,668.0
180,2019-10-24,2,573.0
