,log_case,case_count_prev,case_count_prev_2,case_count_prev_3,case_count_prev_4,knn_pred,et_pred,rf_pred,lgb_pred,xgb_pred,case_count
0,4.812184355372417,5.3706380281276624,5.598421958998375,5.0238805208462765,4.204692619390966,220.0,327.0,244.0,220.0,236.0,122.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.352629396319567,6.4425401664681985,6.555356891810665,6.630683385642372,6.7580945044277305,731.0,839.0,727.0,650.0,649.0,573.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.852030263919617,5.247024072160486,5.648974238161206,5.5134287461649825,5.948034989180646,284.0,399.0,238.0,277.0,300.0,127.0
5,5.093750200806762,5.111987788356544,5.638354669333745,5.375278407684165,5.932245187448011,163.0,214.0,165.0,166.0,185.0,162.0
6,7.688455356549944,7.581209826196346,7.492760300922379,7.492760300922379,7.40184157874383,1803.0,1518.0,1790.0,1868.0,1794.0,2182.0
7,7.047517221357296,7.106606137727303,6.990256500493881,7.122059881629142,7.249925536717988,1278.0,1003.0,1154.0,1073.0,1089.0,1149.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.690842277418564,6.037870919922137,5.905361848054571,4.77912349311153,5.641907070938114,553.0,392.0,523.0,522.0,461.0,804.0
11,6.335054251498059,6.278521424165844,6.171700597410915,6.171700597410915,6.698268054115413,487.0,596.0,470.0,401.0,310.0,563.0
12,4.204692619390966,3.367295829986474,3.4011973816621555,0.6931471805599453,0.0,49.0,5.0,61.0,54.0,33.0,66.0
13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
14,6.511745329644728,6.981934677156389,6.530877627725885,6.340359303727752,6.159095388491933,1037.0,482.0,1002.0,1097.0,1080.0,672.0
15,5.69035945432406,5.552959584921617,5.834810737062605,5.288267030694535,4.948759890378168,261.0,402.0,309.0,293.0,288.0,295.0
16,7.443663683115591,7.768956044538332,7.6093665379542115,7.633853559681768,6.742880635791903,1733.0,1012.0,1638.0,1713.0,1547.0,1708.0
17,6.324358962381311,6.298949246855942,6.576469569048224,5.424950017481403,6.192362489474872,560.0,645.0,514.0,534.0,516.0,557.0
18,6.222576268071369,5.5134287461649825,5.5134287461649825,5.5134287461649825,6.2166061010848646,467.0,469.0,454.0,414.0,443.0,503.0
19,6.80903930604298,7.333676395657684,7.108244139731541,7.293697720601438,7.109062135687172,1459.0,1164.0,1150.0,1151.0,1182.0,905.0
