,log_case,case_count_prev,case_count_prev_2,case_count_prev_3,case_count_prev_4,hu_pred,ls_pred,rf_pred,lgb_pred,xgb_pred,case_count
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
3,4.418840607796598,4.804021044733257,4.990432586778736,4.553876891600541,5.545177444479562,227.0,157.0,117.0,101.0,130.0,82.0
4,5.4680601411351315,5.857933154483459,5.093750200806762,5.631211781821365,6.16541785423142,263.0,207.0,324.0,295.0,232.0,236.0
5,6.304448802421981,6.326149473155099,6.523562306149512,6.523562306149512,6.682108597449809,561.0,231.0,631.0,620.0,614.0,546.0
6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
7,5.1298987149230735,5.407171771460119,5.342334251964811,5.529429087511423,5.594711379601839,229.0,185.0,131.0,110.0,123.0,168.0
8,7.62608275807238,7.665284718471351,7.627057417018934,7.526717561352706,7.305860032684009,920.0,305.0,1930.0,1983.0,1976.0,2050.0
9,3.713572066704308,4.812184355372417,5.700443573390687,5.8888779583328805,6.720220155135295,203.0,157.0,39.0,46.0,44.0,40.0
10,5.676753802268282,5.241747015059643,5.739792912179234,5.823045895483019,5.472270673671475,347.0,177.0,233.0,244.0,263.0,291.0
11,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
12,4.204692619390966,3.784189633918261,3.828641396489095,3.58351893845611,3.1780538303479458,130.0,114.0,53.0,45.0,66.0,66.0
13,6.738152494595957,6.1463292576688975,6.732210706467206,6.665683717782408,6.548219102762372,822.0,222.0,829.0,694.0,840.0,843.0
14,7.738488122494646,7.594381242551817,7.085064293952548,7.463363045520021,7.696667081526462,922.0,301.0,2040.0,1480.0,1704.0,2294.0
15,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
16,7.2399325913204695,6.124683390894205,7.205635176410364,7.370860166536716,7.2456550675945355,850.0,220.0,1286.0,1520.0,737.0,1393.0
17,6.289715570908998,7.325807502595773,7.40184157874383,7.396948602621014,7.396948602621014,726.0,285.0,1005.0,1166.0,1278.0,538.0
18,5.7745515455444085,6.066108090103747,6.095824562432225,5.958424693029782,5.762051382780177,494.0,217.0,334.0,423.0,358.0,321.0
