,log_case,case_count_prev,case_count_prev_2,case_count_prev_3,case_count_prev_4,hu_pred,ls_pred,rf_pred,lgb_pred,xgb_pred,case_count
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1,6.539585955617669,6.251903883165888,6.573680166960646,5.517452896464707,4.343805421853684,421.0,224.0,587.0,571.0,538.0,691.0
2,7.647308832356238,7.597396320212795,7.6093665379542115,7.416979621381154,6.7661917146603505,1046.0,296.0,2081.0,2097.0,1972.0,2094.0
3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
5,4.394449154672439,5.056245805348308,0.0,5.117993812416755,5.5134287461649825,63.0,166.0,183.0,177.0,177.0,80.0
6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
7,5.2832037287379885,5.159055299214529,4.718498871295094,4.07753744390572,4.31748811353631,232.0,171.0,164.0,165.0,194.0,196.0
8,7.379008127628304,7.145196134997171,7.252053951852814,7.05444965813294,7.111512116496157,1015.0,271.0,1311.0,1354.0,1770.0,1601.0
9,6.184148890937483,6.411818267709897,6.555356891810665,6.473890696352274,6.135564891081739,511.0,232.0,614.0,523.0,543.0,484.0
10,6.78897174299217,7.085064293952548,7.201916317531627,7.355641102974253,7.350516171833998,788.0,268.0,968.0,1061.0,1065.0,887.0
11,7.711548979629146,7.590852123688581,6.86484777797086,6.5638555265321274,4.852030263919617,653.0,296.0,1704.0,1864.0,1761.0,2233.0
12,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
13,5.198497031265826,4.204692619390966,5.37989735354046,4.23410650459726,5.0106352940962555,213.0,129.0,114.0,78.0,92.0,180.0
14,6.2166061010848646,6.09807428216624,5.87493073085203,6.274762021241939,6.148468295917647,640.0,216.0,465.0,435.0,496.0,500.0
15,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
16,6.893656354602635,6.46302945692067,6.635946555686647,6.80128303447162,6.647688373563329,790.0,234.0,686.0,647.0,678.0,985.0
17,7.388327859577107,7.467942332285852,7.707062655370473,7.466799475018602,7.6676260915849905,581.0,289.0,940.0,1063.0,1233.0,1616.0
18,3.332204510175204,2.772588722239781,3.6375861597263857,3.8501476017100584,3.091042453358316,91.0,76.0,36.0,32.0,57.0,27.0
19,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
20,7.20934025660291,7.202661196523238,6.453624998892692,5.916202062607435,5.209486152841421,573.0,274.0,1357.0,1322.0,1312.0,1351.0
21,5.318119993844216,5.049856007249537,5.726847747587197,5.726847747587197,5.937536205082426,306.0,166.0,130.0,154.0,141.0,203.0
